Team,Year 1,Year 2
ATL,0.685394621145508,0.3165606879283076
BAL,0.1449920590194167,0.40657869116225376
BOS,0.016415080154042805,-0.15458937198067613
CHC,0.07593943327795971,-0.08746812386156666
CHW,0.2765339709352874,0.3552884523877502
CIN,-0.005111420858549209,0.45491437954492175
CLE,0.24045806280847648,0.2643174230472902
COL,-0.19883190129143014,0.03744522312855958
DET,0.12919705022040917,0.012087078163715237
HOU,0.2763722621264524,0.34119535280014324
KCR,-0.030218806702956513,0.2509169264624975
LAD,0.12450710529260345,0.20470626467938047
MIL,0.15931656262488447,0.11723892656812529
MIN,-0.13964603000747555,-0.020691410226293616
NYM,-0.0060003840245776985,0.2576158343227277
NYY,0.16559082302438766,0.45096986975236186
OAK,-0.27936649638777267,0.01602543287533109
PHI,0.26893432771425907,0.29219848843541074
PIT,-0.10801415129105951,-0.18774604114251936
SDP,-0.08141163094157067,-0.24033119847139162
SEA,0.01093832121277627,-0.18464268596078792
SFG,0.5432156423189491,0.1562539682539681
STL,0.1644359803671236,-0.18489623308802505
TEX,0.3970291108860837,-0.19141461542242322
TOR,0.17799781693435213,0.12514265487589782
ATL,0.3165606879283076,0.4439707149009475
BAL,0.40657869116225376,0.1282670454545456
BOS,-0.15458937198067613,0.0832014170883757
CHC,-0.08746812386156666,0.2353984813001211
CHW,0.3552884523877502,0.06812105750580999
CIN,0.45491437954492175,0.26634735840096635
CLE,0.2643174230472902,0.6221052012238175
COL,0.03744522312855958,-0.009535430444720827
DET,0.012087078163715237,-0.31894502659535906
HOU,0.34119535280014324,0.24801480898867467
KCR,0.2509169264624975,-0.14483974056630933
LAD,0.20470626467938047,0.0012949811709743742
MIL,0.11723892656812529,0.34116104055863117
MIN,-0.020691410226293616,-0.2567191547713721
NYM,0.2576158343227277,0.4156433331855598
NYY,0.45096986975236186,0.3125349302946563
OAK,0.01602543287533109,-0.10181808363184697
PHI,0.29219848843541074,0.01190352633009617
PIT,-0.18774604114251936,-0.12656822423446457
SDP,-0.24033119847139162,0.06828307670373546
SEA,-0.18464268596078792,0.44796723731652577
SFG,0.1562539682539681,-0.34768515590411786
STL,-0.18489623308802505,-0.08932283090478155
TEX,-0.19141461542242322,0.015629522431258813
TOR,0.12514265487589782,-0.4052430267383538
ATL,0.4439707149009475,0.22327232363886074
BAL,0.1282670454545456,0.10311606202017165
BOS,0.0832014170883757,0.13194990452656397
CHC,0.2353984813001211,0.30571292245452053
CHW,0.06812105750580999,0.2915603103454081
CIN,0.26634735840096635,0.10296078776974849
CLE,0.6221052012238175,0.27361191550742525
COL,-0.009535430444720827,0.040905479682730395
DET,-0.31894502659535906,-0.2918384667845384
HOU,0.24801480898867467,0.032355426777737506
KCR,-0.14483974056630933,0.04712495480561296
LAD,0.0012949811709743742,0.3825607169972689
MIL,0.34116104055863117,0.18905171791675057
MIN,-0.2567191547713721,0.16727353351070562
NYM,0.4156433331855598,0.10679464632941826
NYY,0.3125349302946563,0.19515315612340034
OAK,-0.10181808363184697,0.06446380178087496
PHI,0.01190352633009617,-0.5175267770204477
PIT,-0.12656822423446457,0.11694316902018542
SDP,0.06828307670373546,0.2679823210135752
SEA,0.44796723731652577,0.1565022194467418
SFG,-0.34768515590411786,-0.08082082736831708
STL,-0.08932283090478155,0.3062308016735904
TEX,0.015629522431258813,0.20952375814595836
TOR,-0.4052430267383538,-0.13644314774711397
ATL,0.22327232363886074,0.5275920369213898
BAL,0.10311606202017165,0.5656669777131569
BOS,0.13194990452656397,-0.017559134904779672
CHC,0.30571292245452053,0.21300147861757912
CHW,0.2915603103454081,-0.008495824517226858
CIN,0.10296078776974849,-0.29537521815008727
CLE,0.27361191550742525,0.06739277939554977
COL,0.040905479682730395,0.18483708076994665
DET,-0.2918384667845384,0.08621480237664692
HOU,0.032355426777737506,0.26100971100971115
KCR,0.04712495480561296,-0.1985339732915401
LAD,0.3825607169972689,0.48403435090578606
MIL,0.18905171791675057,-0.017441055052225707
MIN,0.16727353351070562,-0.12415524784411414
NYM,0.10679464632941826,0.48647196461018805
NYY,0.19515315612340034,0.6106005141857853
OAK,0.06446380178087496,-0.23638798800128358
PHI,-0.5175267770204477,-0.2611990305104075
PIT,0.11694316902018542,0.002313974591651835
SDP,0.2679823210135752,-0.0924634182495816
SEA,0.1565022194467418,0.11469193082638451
SFG,-0.08082082736831708,-0.07161997838227308
STL,0.3062308016735904,-0.18691627102244324
TEX,0.20952375814595836,0.03485751195869691
TOR,-0.13644314774711397,-0.06465201949431165
ATL,0.5275920369213898,0.5153738440444582
BAL,0.5656669777131569,0.05783002907951218
BOS,-0.017559134904779672,0.3015906571208449
CHC,0.21300147861757912,0.29029008496517505
CHW,-0.008495824517226858,-0.07259437793089019
